Channel Name,Subscribers,No. of Videos,Category,No. of Views,Audience,Start Date,Email,Current Location
Vlad and Niki,87M,487,Children Adventure,68381349509,Children,23-Apr-18,vladandniki@underscoretalent.com,United States
Zee Music Company,88.2M,6968,Music,50353019372,Adults,12-Mar-14,NA,India
WWE,91.1M,64096,Wrestling,71620753947,Adults,11-May-07,NA,United States
Like Nastya,101M,417,Kids Adventures,83976126137,Children,06-Dec-16,info@likenastya.com,United States
Kids Diana Show,101M,1021,Children Adventure,82096974708,Children,12-May-15,dianaromabiz@gmail.com,United States
MrBeast,105M,729,Adventure and Charity,17412655348,Adults,20-Feb-12,NA,United States
PewDiePie,111M,4506,Games and adventure,28532763044,Adults,29-Apr-10,pdpbusiness@re6l.com,Japan
Set India,143M,95050,"Film, Drama and others",1.30E+11,Kids,21-Sep-06,NA,India
Cocomelon,143M,801,Kids Cartoons,1.40E+11,Kids,21-Sep-06, hello@moonbug.com,United States
T-Series,225M,17514,Music,2.03E+11,Adults,13-Mar-06,,India
